trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-122.44172453293284,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.95}",25,0,-148.77041149058405,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-271.64776313865684,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 5}",0
4,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-109.6979689575983,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-101.2222490001002,"{0: 18, 1: 1, 2: 11, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-56.838482754266785,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-157.36481232930544,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-66.69043333244885,"{0: 25, 1: 3, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-116.92608131988622,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.5499999999999996}",35,19,-7.303615561984016,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4999999999999996}",35,9,-21.40558833921685,"{0: 20, 1: 2, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,7,-40.857927757752,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-7.704029441642293,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,14,-6.228603918021685,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-5.0039313817478694,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,10,-31.241650744605167,"{0: 16, 1: 0, 2: 2, 3: 2, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,15,-24.0260912009898,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,11,-48.163004269434346,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,27.920547365326996,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,2,28.474967376495243,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,21.291202723441884,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,10,9.828022731198892,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,16,23.901302569870076,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,30.87779447047734,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,8,25.608684470221878,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,0,-8.111491485596154,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,12,13.187556248388251,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,20.053561338565736,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,1,26.430894780508424,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,17,16.278623254814327,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
