trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 1}",35,0,-175.6782871694728,"{0: 19, 1: 5, 2: 9, 3: 0, 4: 2}",0
2,False,"{'a': 0.4, 'e': 0.6703200460356393}",25,0,-73.05399029120156,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.4, 'e': 0.44932896411722156}",20,0,-89.92603946167743,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.4, 'e': 0.301194211912202}",20,0,-41.8401331033263,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.20189651799465538}",20,1,-71.84447061351588,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 2}",1
6,False,"{'a': 0.4, 'e': 0.1353352832366127}",20,0,-78.69077965051007,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.4, 'e': 0.09071795328941247}",25,0,-150.0013796716016,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
8,False,"{'a': 0.4, 'e': 0.06081006262521795}",25,14,2.719393504114337,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.4, 'e': 0.04076220397836621}",20,0,12.187573319857766,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.4, 'e': 0.02732372244729256}",30,13,22.191398191295967,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.4, 'e': 0.01831563888873418}",25,0,26.486250531825494,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.4, 'e': 0.012277339903068436}",35,21,21.671620066724923,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.4, 'e': 0.008229747049020023}",25,14,20.723319929091303,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.4, 'e': 0.0055165644207607716}",20,0,4.702224670594188,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
15,False,"{'a': 0.4, 'e': 0.003697863716482929}",20,0,25.706696826652244,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.4, 'e': 0.0024787521766663585}",25,14,16.910098823124756,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.4, 'e': 0.001661557273173934}",20,0,21.987835805391654,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.4, 'e': 0.0011137751478448024}",20,9,11.886843055805189,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.4, 'e': 0.0007465858083766792}",20,0,-17.980490216941504,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.4, 'e': 0.0005004514334406104}",25,7,30.58253449796587,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,11,11.464544425257793,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,22.388773731850883,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,9,25.359774862479494,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,9,18.926151141522684,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,22.615356613638415,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",35,7,29.922678767873208,"{0: 27, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,11,9.997213209608471,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,21,14.48710776083822,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,3,-21.104482150846497,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,0,-75.54144996703921,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
11,True,"{'a': 0, 'e': 0}",20,0,21.26676993702533,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0, 'e': 0}",20,5,17.951339511406754,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,0,26.282478423145406,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,True,"{'a': 0, 'e': 0}",20,8,18.85038988859287,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,8,18.147259385908516,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,0,-50.264241386070864,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
17,True,"{'a': 0, 'e': 0}",20,10,3.2695087536733514,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,0,-10.413896629577444,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
19,True,"{'a': 0, 'e': 0}",25,11,-1.0533652166752918,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",25,7,30.57358742159291,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
