trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-221.77946949055394,"{0: 7, 1: 4, 2: 5, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-138.40507849845824,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.64067185986993,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.49844963510893,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-178.36705599515085,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,3,-115.48569381316656,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 2}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.85515614498783,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-32.159858528989375,"{0: 17, 1: 7, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.13619727756564,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.57403171124211,"{0: 13, 1: 2, 2: 10, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.4186827464976,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.66870771525383,"{0: 14, 1: 2, 2: 0, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.29177471879785,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.10335733683019,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-116.4046772565869,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.657006005121,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.6010840767647,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-10.093226432850399,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-99.54547077151562,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-157.3440539530217,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,6,-46.59015223230492,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-191.71294177725136,"{0: 6, 1: 1, 2: 11, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.8285961109102,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,10,-21.146380851143206,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",35,0,-121.81887952799856,"{0: 24, 1: 3, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-177.49648146965174,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-51.506053312086394,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-181.2367212085137,"{0: 11, 1: 6, 2: 5, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-121.93797477654509,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-98.11406600795878,"{0: 18, 1: 7, 2: 4, 3: 0, 4: 1}",0
